Event Category, Event Name, Team Name, Participants, Start Time, End Time, Performance Time
literary,Poem Recitation,YF-8, ,14 Oct - 5:03:32 PM, 14 Oct - 5:07:26 PM,03:54
music,Classical Inst. (Percussion),YF-1, ,14 Oct - 5:15:15 PM, 14 Oct - 5:15:22 PM,00:06
music,Classical Inst. (Percussion),YF-1, ,14 Oct - 5:16:04 PM, 14 Oct - 5:18:09 PM,02:05
music,Classical Inst. (Percussion),YF-1, ,15 Oct - 9:12:15 AM, 15 Oct - 9:12:17 AM,00:02
music,Classical Inst. (Percussion),YF-1, ,15 Oct - 9:19:55 AM, 15 Oct - 9:19:57 AM,00:01
music,Group Shabad/Bhajan,YF-1, ,15 Oct - 10:28:21 AM, 15 Oct - 10:36:44 AM,08:23
music,Group Shabad/Bhajan,YF-2, ,15 Oct - 10:41:37 AM, 15 Oct - 10:48:29 AM,06:52
music,Group Shabad/Bhajan,YF-3, ,15 Oct - 10:51:59 AM, 15 Oct - 10:59:25 AM,07:25
music,Group Shabad/Bhajan,YF-4, ,15 Oct - 11:04:08 AM, 15 Oct - 11:10:28 AM,06:20
music,Vaar Singing,YF-1, ,15 Oct - 11:22:49 AM, 15 Oct - 11:27:58 AM,05:08
music,Vaar Singing,YF-1, ,15 Oct - 11:30:49 AM, 15 Oct - 11:30:57 AM,00:07
music,Vaar Singing,YF-1, ,15 Oct - 11:31:27 AM, 15 Oct - 11:36:20 AM,04:52
music,Vaar Singing,YF-3, ,15 Oct - 11:39:12 AM, 15 Oct - 11:45:36 AM,06:23
music,Folk Song (Punjabi),YF-2, ,15 Oct - 11:50:57 AM, 15 Oct - 11:55:59 AM,05:02
music,Folk Song (Punjabi),YF-3, ,15 Oct - 11:58:42 AM, 15 Oct - 11:58:47 AM,00:04
music,Folk Song (Punjabi),YF-3, ,15 Oct - 11:59:57 AM, 15 Oct - 12:04:27 PM,04:29
music,Folk Song (Punjabi),YF-4, ,15 Oct - 12:08:37 PM, 15 Oct - 12:13:28 PM,04:51
music,Folk Song (Punjabi),YF-7, ,15 Oct - 12:15:26 PM, 15 Oct - 12:20:21 PM,04:54
music,Folk Song (Punjabi),YF-5, ,15 Oct - 12:23:23 PM, 15 Oct - 12:27:51 PM,04:27
music,Folk Song (Punjabi),YF-6, ,15 Oct - 12:31:26 PM, 15 Oct - 12:35:50 PM,04:23
music,Folk Song (Punjabi),YF-8, ,15 Oct - 12:38:38 PM, 15 Oct - 12:43:07 PM,04:29
music,Folk Song (Punjabi),YF-9, ,15 Oct - 12:45:32 PM, 15 Oct - 12:50:49 PM,05:16
music,Folk Song (Punjabi),YF-10, ,15 Oct - 12:53:12 PM, 15 Oct - 12:57:45 PM,04:32
music,Group Song Indian,YF-1, ,15 Oct - 1:18:13 PM, 15 Oct - 1:24:16 PM,06:02
music,Group Song Indian,YF-1, ,15 Oct - 1:24:24 PM, 15 Oct - 1:26:29 PM,02:04
music,Group Song Indian,YF-2, ,15 Oct - 1:35:11 PM, 15 Oct - 1:44:22 PM,09:11
music,Group Song Indian,YF-3, ,15 Oct - 1:48:19 PM, 15 Oct - 1:53:11 PM,04:52
music,Group Song Indian,YF-5, ,15 Oct - 1:57:07 PM, 15 Oct - 2:05:26 PM,08:18
music,Folk Orchestra,YF-1, ,15 Oct - 2:12:09 PM, 15 Oct - 2:20:40 PM,08:30
music,Folk Orchestra,YF-3, ,15 Oct - 2:29:49 PM, 15 Oct - 2:38:04 PM,08:14
literary,Debate,YF-1, Participant-1,15 Oct - 3:10:14 PM, 15 Oct - 3:14:26 PM,04:11
literary,Debate,YF-1, Participant-2,15 Oct - 3:14:48 PM, 15 Oct - 3:19:17 PM,04:29
literary,Debate,YF-2, Participant-1,15 Oct - 3:20:01 PM, 15 Oct - 3:24:43 PM,04:42
literary,Debate,YF-2, Participant-2,15 Oct - 3:25:18 PM, 15 Oct - 3:29:51 PM,04:32
literary,Debate,YF-3, Participant-1,15 Oct - 3:30:51 PM, 15 Oct - 3:35:36 PM,04:45
literary,Debate,YF-3, Participant-2,15 Oct - 3:36:34 PM, 15 Oct - 3:41:04 PM,04:29
literary,Debate,YF-4, Participant-1,15 Oct - 3:41:38 PM, 15 Oct - 3:46:14 PM,04:36
literary,Debate,YF-4, Participant-2,15 Oct - 3:46:34 PM, 15 Oct - 3:50:53 PM,04:18
literary,Debate,YF-5, Participant-1,15 Oct - 3:51:16 PM, 15 Oct - 3:55:49 PM,04:32
literary,Debate,YF-5, Participant-2,15 Oct - 3:56:07 PM, 15 Oct - 4:00:39 PM,04:32
literary,Debate,YF-6, Participant-1,15 Oct - 4:01:29 PM, 15 Oct - 4:05:59 PM,04:30
literary,Debate,YF-6, Participant-2,15 Oct - 4:06:17 PM, 15 Oct - 4:11:02 PM,04:45
literary,Debate,YF-7, Participant-1,15 Oct - 4:11:36 PM, 15 Oct - 4:15:39 PM,04:02
literary,Debate,YF-7, Participant-2,15 Oct - 4:16:01 PM, 15 Oct - 4:20:18 PM,04:16
literary,Debate,YF-8, Participant-1,15 Oct - 4:21:33 PM, 15 Oct - 4:26:14 PM,04:41
literary,Debate,YF-8, Participant-2,15 Oct - 4:26:40 PM, 15 Oct - 4:31:24 PM,04:44
literary,Debate,YF-10, Participant-1,15 Oct - 4:32:10 PM, 15 Oct - 4:33:02 PM,00:52
literary,Debate,YF-10, Participant-1,15 Oct - 4:33:14 PM, 15 Oct - 4:34:12 PM,00:58
literary,Debate,YF-10, Participant-2,15 Oct - 4:34:45 PM, 15 Oct - 4:39:39 PM,04:54
literary,Debate,YF-11, Participant-1,15 Oct - 4:40:25 PM, 15 Oct - 4:43:05 PM,02:39
literary,Debate,YF-11, Participant-2,15 Oct - 4:43:28 PM, 15 Oct - 4:46:04 PM,02:36
literary,Elocution,YF-1, ,15 Oct - 5:16:15 PM, 15 Oct - 5:20:47 PM,04:32
literary,Elocution,YF-2, ,15 Oct - 5:21:16 PM, 15 Oct - 5:25:54 PM,04:38
literary,Elocution,YF-3, ,15 Oct - 5:26:26 PM, 15 Oct - 5:31:41 PM,05:14
literary,Elocution,YF-4, ,15 Oct - 5:32:07 PM, 15 Oct - 5:36:40 PM,04:33
literary,Elocution,YF-5, ,15 Oct - 5:37:01 PM, 15 Oct - 5:41:53 PM,04:52
literary,Elocution,YF-6, ,15 Oct - 5:42:18 PM, 15 Oct - 5:46:51 PM,04:33
literary,Elocution,YF-7, ,15 Oct - 5:47:16 PM, 15 Oct - 5:48:53 PM,01:36
literary,Elocution,YF-8, ,15 Oct - 5:49:10 PM, 15 Oct - 5:54:26 PM,05:16
literary,Elocution,YF-9, ,15 Oct - 5:54:50 PM, 15 Oct - 5:59:42 PM,04:51
literary,Elocution,YF-10, ,15 Oct - 6:00:05 PM, 15 Oct - 6:04:25 PM,04:19
